id результата;Команда;Баллы;Сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Контрольная работа 3
123;АЛГЕБРА Л-09;97.0;1;0.64;5.0;20.0;0.8;0.0;20.0;0.62;0.0;17.0
124;АЛГЕБРА Л-09;69.0;1;0.91;45.5;5.0;0.8;5.5;8.0;0.88;9.5;10.0
125;АЛГЕБРА Л-06;56.0;0;0.45;29.35;4.0;1.0;2.15;4.0;0.38;11.2;2.0
126;АЛГЕБРА Л-06;95.0;1;0.82;39.1;7.5;1.0;7.05;10.0;1.0;16.85;10.0
127;АЛГЕБРА Л-06;62.0;1;0.73;41.75;5.0;0.4;2.2;3.0;0.75;10.9;5.0
128;АЛГЕБРА Л-03;94.0;1;0.91;36.45;20.0;1.0;10.0;20.0;0.75;8.0;20.0
129;АЛГЕБРА Л-06;14.0;0;0.73;11.0;0.0;1.0;6.0;4.0;0.5;0.0;0.0
130;АЛГЕБРА Л-05;30.0;0;0.45;0.0;10.0;0.6;0.0;8.0;0.38;0.0;6.0
131;АЛГЕБРА Л-07;91.0;1;1.0;8.0;1.0;1.0;5.0;20.0;1.0;13.0;15.0
132;АЛГЕБРА Л-08;31.0;0;0.91;38.0;1.0;1.0;0.0;20.0;1.0;2.0;5.0
133;АЛГЕБРА Л-03;61.0;1;0.82;0.0;8.0;1.0;0.0;10.0;1.0;0.0;15.0
134;АЛГЕБРА Л-07;117.0;1;1.0;32.0;20.0;1.0;5.0;20.0;1.0;8.0;20.0
135;АЛГЕБРА Л-07;62.0;1;0.91;48.0;20.0;0.8;3.0;20.0;0.88;0.0;6.0
136;АЛГЕБРА Л-01;100.0;1;0.18;78.0;14.5;0.0;0.0;5.0;0.62;7.5;0.0
137;АЛГЕБРА Л-07;31.5;0;0.36;0.0;7.0;0.2;0.0;1.0;0.38;0.0;2.0
138;АЛГЕБРА Л-08;18.0;0;1.0;21.5;0.0;1.0;8.0;0.0;1.0;0.0;0.0
139;АЛГЕБРА Л-01;47.0;0;0.73;10.0;14.0;0.6;0.0;8.0;1.0;0.0;10.0
140;АЛГЕБРА Л-06;61.0;1;0.27;21.5;7.0;0.4;0.0;2.75;0.88;4.2;4.0
141;АЛГЕБРА Л-02;0.0;0;0.0;36.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0
142;АЛГЕБРА Л-08;76.0;1;0.73;0.0;16.0;1.0;0.0;10.0;0.88;0.0;10.0
143;АЛГЕБРА Л-02;18.0;0;0.91;40.0;15.0;0.6;3.0;0.0;0.0;0.0;0.0
144;АЛГЕБРА Л-05;98.0;1;1.0;0.0;20.0;1.0;6.0;15.0;1.0;0.0;20.0
145;АЛГЕБРА Л-07;77.0;1;0.82;41.0;11.0;1.0;5.0;10.0;1.0;14.0;18.0
146;АЛГЕБРА Л-04;42.0;0;0.55;17.0;20.0;1.0;0.0;18.0;0.88;0.0;2.0
147;АЛГЕБРА Л-05;1.0;0;0.73;0.0;0.0;1.0;1.0;0.0;0.62;0.0;0.0
148;АЛГЕБРА Л-04;93.0;1;0.91;4.0;13.0;1.0;5.0;9.0;1.0;8.0;20.0
149;АЛГЕБРА Л-08;91.0;1;0.36;35.0;17.0;1.0;2.5;19.75;0.62;20.0;10.75
150;АЛГЕБРА Л-04;80.0;1;0.91;21.0;14.0;1.0;5.0;0.0;1.0;4.0;16.0
151;АЛГЕБРА Л-08;81.0;1;0.91;42.0;1.0;1.0;3.0;20.0;0.88;10.0;10.0
152;АЛГЕБРА Л-09;61.0;1;0.73;35.0;12.0;1.0;0.5;4.0;0.88;11.5;7.5
153;АЛГЕБРА Л-07;71.5;1;1.0;33.0;8.0;1.0;2.0;8.0;0.88;4.0;13.0
154;АЛГЕБРА Л-01;100.0;1;0.27;71.5;12.0;1.0;0.5;16.0;1.0;10.5;7.5
155;АЛГЕБРА Л-01;91.0;1;0.27;12.0;19.75;1.0;0.5;16.0;1.0;20.0;16.5
156;АЛГЕБРА Л-05;52.0;0;0.73;17.25;11.0;1.0;0.0;15.0;0.88;0.0;4.0
157;АЛГЕБРА Л-06;32.0;0;0.18;23.5;17.0;0.8;0.0;0.5;0.62;0.0;13.0
158;АЛГЕБРА Л-08;14.0;0;0.82;0.0;0.0;1.0;9.0;0.0;1.0;0.0;0.0
159;АЛГЕБРА Л-01;71.0;1;0.64;5.0;20.0;1.0;0.0;14.0;1.0;17.0;0.0
160;АЛГЕБРА Л-03;51.0;0;0.45;20.0;18.0;1.0;0.0;13.0;0.62;0.0;13.0
161;АЛГЕБРА Л-02;76.0;1;0.82;7.0;15.0;1.0;8.0;3.0;1.0;0.0;18.0
162;АЛГЕБРА Л-08;61.0;1;1.0;32.0;10.5;1.0;0.0;6.0;1.0;0.0;12.5
163;АЛГЕБРА Л-08;61.0;1;0.36;32.0;12.0;1.0;1.0;11.5;0.75;7.5;11.0
164;АЛГЕБРА Л-08;3.0;0;1.0;18.0;0.0;0.8;3.0;0.0;1.0;0.0;0.0
165;АЛГЕБРА Л-08;66.0;1;0.82;2.0;1.0;0.8;0.0;18.0;0.88;10.0;10.0
166;АЛГЕБРА Л-09;102.0;1;1.0;35.0;9.0;1.0;10.0;15.0;1.0;26.0;13.0
167;АЛГЕБРА Л-04;94.0;1;0.64;23.85;12.0;1.0;7.65;11.5;1.0;20.0;12.0
168;АЛГЕБРА Л-03;76.0;1;1.0;30.0;11.0;0.8;4.0;7.0;1.0;8.0;20.0
169;АЛГЕБРА Л-09;61.0;1;0.55;22.0;20.0;0.8;0.0;8.0;1.0;10.0;5.0
170;АЛГЕБРА Л-01;100.0;1;0.27;44.0;17.5;0.8;0.0;11.0;1.0;18.5;12.0
171;АЛГЕБРА Л-07;76.0;1;0.91;19.0;20.0;1.0;7.0;20.0;1.0;2.0;13.0
172;АЛГЕБРА Л-02;62.0;1;0.64;12.0;12.0;0.4;2.0;6.0;0.5;4.0;20.0
173;АЛГЕБРА Л-03;63.0;1;1.0;22.0;6.0;1.0;7.5;4.0;1.0;10.0;12.0
174;АЛГЕБРА Л-05;1.0;0;0.82;17.5;0.0;1.0;1.0;0.0;0.62;0.0;0.0
