 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-08.02;0;0.86;0.16;1.0;0.5484084971070817;0.0;12.0;1.0;1.0;0.06;1.0;0.0;0.0;12.0;1.0;1.0;0.1;1.0;0.0;0.0;14.43;1.0
œËŒ¿ œ-08.01;1;0.79;0.04;0.375;0.33583024712973375;0.0;6.0;1.0;0.33;0.01;0.3333333333333333;0.49999999999999994;0.0;2.0;1.0;0.4;0.0;0.0;0.0;0.0;4.0;1.0
œËŒ¿ œ-06.01;1;0.93;0.15;1.0;0.36275605531502303;0.08;1.0;1.0;1.0;0.05;1.0;0.49999999999999994;0.1;5.0;1.0;1.0;0.06;0.6000000000000001;0.9999999999999999;0.06;7.0;1.0
œËŒ¿ œ-02.02;0;1.0;0.15;1.0;0.2523904098100339;0.0;14.5;1.0;1.0;0.04;0.6666666666666666;0.9999999999999999;0.01;17.8;1.0;1.0;0.06;0.6000000000000001;0.9999999999999999;0.04;16.05;1.0
œËŒ¿ œ-06.02;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67;0.004;0.6666666666666666;0.09999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-08.03;0;0.93;0.13;0.875;0.24483105021857507;0.02;9.0;1.0;0.33;0.05;1.0;0.49999999999999994;0.0;15.0;0.0;1.0;0.1;1.0;0.0;0.04;15.0;1.0
œËŒ¿ œ-05.04;1;0.86;0.055999999999999994;0.5;0.3488909578743915;0.0;2.08;1.0;1.0;0.023;0.6666666666666666;0.6144102863722254;0.0;2.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-04.04;0;0.71;0.16;1.0;0.260132990857236;0.0;4.25;1.0;1.0;0.06;1.0;0.0;0.0;7.91;1.0;0.6;0.1;1.0;0.0;0.0;12.33;1.0
œËŒ¿ œ-07.04;1;0.64;0.022000000000000002;0.75;0.4205389782583365;0.0;0.5;0.0;0.67;0.01;0.6666666666666666;0.24999999999999997;0.005;3.4;1.0;0.2;0.01;0.2;0.408248290463863;0.0;0.0;0.0
œËŒ¿ œ-05.04;0;0.71;0.16;1.0;0.2948492669578202;0.0;7.84;1.0;0.67;0.06;1.0;0.0;0.0;6.63;1.0;1.0;0.1;1.0;0.0;0.0;7.33;1.0
œËŒ¿ œ-04.04;1;0.71;0.16;1.0;0.346843987809648;0.0;2.25;0.0;1.0;0.06;1.0;0.0;0.0;0.0;1.0;0.8;0.07;0.8;0.8164965809277259;0.0;6.0;1.0
œËŒ¿ œ-03.03 ;1;1.0;0.113;1.0;0.2646129867956489;0.05;8.6;1.0;1.0;0.02;0.6666666666666666;0.49999999999999994;0.0;12.33;1.0;1.0;0.0;0.0;0.0;0.04;14.5;1.0
