Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Доставленные баллы на Контрольная работа 1;Контрольная работа 1;Присутствие на Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Доставленные баллы на Контрольная работа 2;Контрольная работа 2;Присутствие на Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Доставленные баллы на Контрольная работа 3;Контрольная работа 3;Присутствие на Контрольная работа 3
1;0.27;0.0095;0.18181818181818182;0.23684771632449528;0.0;4.0;1.0;0.8;0.01;0.4;0.05402118045492149;0.0;0.0;1.0;0.25;0.0105;0.25;0.012689609122331138;0.0;4.0;0.0
0;1.0;0.11;0.36363636363636365;0.17841128722837646;0.0;8.0;1.0;1.0;0.05;1.0;0.0;0.0;14.0;1.0;1.0;0.08;1.0;0.0;0.0;20.0;1.0
0;0.73;0.06;0.36363636363636365;0.20485371810397432;0.0;20.0;1.0;1.0;0.03;0.4;0.17643243655649235;0.0;20.0;1.0;0.5;0.0;0.0;0.0;0.0;20.0;0.0
1;1.0;0.0;0.0;0.22694676135684344;0.0;20.0;1.0;1.0;0.08;0.4;0.45412077791469985;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0
1;0.64;0.0;0.0;0.13410490443813475;0.0;0.0;1.0;0.6;0.06;0.4;0.42764398444489626;0.0;4.0;1.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0
0;1.0;0.04;0.36363636363636365;0.01872280273304132;0.0;19.0;1.0;1.0;0.05;1.0;0.0;0.0;15.0;1.0;1.0;0.08;1.0;0.0;0.0;20.0;1.0
0;0.73;0.0;0.0;0.21663099947698689;0.0;20.0;1.0;0.8;0.0;0.0;0.0;0.0;20.0;1.0;0.75;0.0;0.0;0.0;0.0;19.5;1.0
1;0.64;0.0;0.0;0.41263047519426077;0.0;5.0;1.0;0.6;0.0;0.0;0.0;0.0;1.5;1.0;1.0;0.0;0.0;0.0;0.0;1.5;1.0
0;0.91;0.0;0.0;0.1547364281978478;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.06;0.125;0.11059692428823387;0.0;18.0;1.0
0;0.91;0.06;0.5454545454545454;0.31683883855503914;0.0;20.0;1.0;1.0;0.05;0.2;0.4410810913912309;0.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0
