 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-11 ÿ≈Õ;1;0.67;0.06;0.625;0.66332495807108;0.025;7.0;1.0;0.0;0.06;1.0;0.8329931278350429;0.02;13.0;0.0;0.57;0.077;0.6666666666666666;0.8299938041715101;0.003;11.5;1.0
œËŒ¿ œ-04;0;1.0;0.124;1.0;0.6264183905346331;0.0;13.0;1.0;1.0;0.057;1.0;0.6943283349645857;0.0;16.0;1.0;0.57;0.098;0.8333333333333333;0.7192544675449917;0.003;16.0;1.0
œËŒ¿ œ-04;0;0.33;0.145;1.0;0.7473285756613353;0.006;8.5;1.0;0.25;0.055999999999999994;1.0;0.7705351969870802;0.003;14.0;0.0;0.29;0.09699999999999999;0.8333333333333333;0.7603812072057645;0.006;17.0;1.0
œËŒ¿ œ-02;1;1.0;0.07;0.625;0.812403840463596;0.05;3.0;1.0;1.0;0.04;1.0;0.7953949089757174;0.03;9.5;1.0;1.0;0.03;0.5;0.6846815692732736;0.17;8.3;1.0
œËŒ¿ œ-02;1;1.0;0.085;0.75;0.8381527307120105;0.05;6.4;1.0;0.25;0.0;0.0;0.8057510123341769;0.01;4.3;1.0;0.43;0.0;0.0;0.6736435292193852;0.0;2.3;1.0
œËŒ¿ œ-04;1;1.0;0.0;0.0;0.0;0.0;1.5;1.0;0.75;0.0;0.0;0.0;0.0;0.0;1.0;0.43;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-04;1;1.0;0.095;0.75;0.7762087348130012;0.0;11.5;1.0;0.5;0.016;0.3333333333333333;0.7932431492786755;0.0;15.5;0.0;1.0;0.016;0.16666666666666666;0.7241020905993385;0.038;14.5;1.0
œËŒ¿ œ-23 —œ;0;1.0;0.16;1.0;0.8;0.0;16.0;1.0;1.0;0.0;0.0;0.9977753031397177;0.13;16.4;1.0;1.0;0.04;0.3333333333333333;0.9350491644243688;0.1;19.0;1.0
œËŒ¿ œ-02;1;0.78;0.02;0.125;0.6000000000000001;0.0;3.8;1.0;0.75;0.0;0.0;0.4988876515698589;0.02;10.1;1.0;0.71;0.0;0.0;0.3911591293589789;0.0;0.0;0.0
œËŒ¿ œ-02;1;1.0;0.0;0.0;0.0;0.05;0.0;1.0;0.5;0.0;0.0;0.0;0.0;2.3;0.0;0.86;0.02;0.3333333333333333;0.269925443392972;0.0;0.0;1.0
œËŒ¿ œ-05 »ÌÚÂ„‡ˆËˇ;1;0.67;0.05;0.625;0.5916079783099616;0.0;2.17;1.0;0.75;0.0;0.0;0.5374838498865699;0.0;4.5;1.0;0.57;0.0;0.0;0.43395819518948153;0.0;4.16;1.0
œËŒ¿ œ-02;1;0.89;0.045;0.375;0.722841614740048;0.06;10.0;1.0;1.0;0.03;0.6666666666666666;0.7668182340565675;0.02;12.0;0.0;0.71;0.03;0.5;0.6479281685605206;0.125;11.0;1.0
