Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;0;0.86;0.16;8.0;0.52;0.8465;1.0;0.05;3.0;0.22;0.457;0.86;0.1;5.0;0.43;0.74
1.0;1;0.57;0.06;3.0;0.19;0.1;0.75;0.03;1.0;0.13;0.0;0.43;0.0;0.0;0.0;0.0
1.0;0;0.86;0.14;8.0;0.45;1.0;1.0;0.076;4.0;0.33;0.99;0.86;0.13;5.0;0.56;0.0
1.0;1;0.57;0.06;4.0;0.19;0.22000000000000003;1.0;0.04;3.0;0.17;0.227;0.57;0.05;3.0;0.22;0.585
1.0;0;1.0;0.13;8.0;0.42;1.0;0.25;0.05;3.0;0.22;1.0;0.86;0.09;5.0;0.39;0.95
1.0;1;0.64;0.11;7.0;0.35;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1;0.43;0.07;4.0;0.23;0.3;0.25;0.12;3.0;0.52;0.0;0.29;0.08;4.0;0.35;0.45
1.0;1;1.0;0.09;5.0;0.29;0.55;1.0;0.03;2.0;0.13;0.35;1.0;0.02;1.0;0.09;0.35
1.0;0;1.0;0.08;6.0;0.26;0.3;0.5;0.02;2.0;0.09;0.8;0.57;0.05;3.0;0.22;0.8
1.0;1;0.64;0.11;7.0;0.35;0.161;1.0;0.01;1.0;0.04;0.0;0.14;0.02;2.0;0.09;0.0
0.0;0;0.79;0.19;8.0;0.61;0.10600000000000001;1.0;0.06;3.0;0.26;0.2665;0.86;0.105;6.0;0.45;0.5650000000000001
