Команды;Направление;Пол;Баллы;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Контрольная работа 3
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;10.05.01 Компьютерная безопасность;1;1.5;1;1.0;0.0;0.0;0.0;1.5;0.8;0.0;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;10.05.01 Компьютерная безопасность;1;61.0;1;1.0;0.095;0.6;0.7762087348130012;11.5;0.4;0.016;0.06666666666666667;0.217877325111116;15.5;1.0;0.016;0.043478260869565216;0.1708812689223547;14.5
ПиОА АТ-23, ПиОА К-23, ПиОА Л-01, ПиОА П-23 СП;10.05.03 Информационная безопасность автоматизированных систем;1;94.4;0;1.0;0.16;0.8;0.8;16.0;1.0;0.0;0.0;0.27467485907550926;16.4;1.0;0.17;0.13043478260869565;0.598963474733051;19.0
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;02.03.03 Математическое обеспечение и администрирование информационных систем;1;17.9;1;0.8;0.02;0.1;0.6000000000000001;3.8;0.8;0.0;0.0;0.13733742953775466;10.1;0.62;0.02;0.043478260869565216;0.12732107233556428;0.0
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;02.03.03 Математическое обеспечение и администрирование информационных систем;1;9.3;1;1.0;0.0;0.0;0.0;0.0;0.4;0.05;0.06666666666666667;0.34334357384438663;2.3;0.88;0.02;0.08695652173913043;0.23493280350716655;0.0
ПиОА АТ-05, ПиОА К-05, ПиОА Л-05, ПиОА П-05 Интеграция;44.03.05 Педагогическое образование (с двумя профилями подготовки);1;15.83;1;0.7;0.05;0.5;0.5916079783099616;2.17;0.8;0.0;0.0;0.14796247237067844;4.5;0.62;0.0;0.0;0.10442028364854089;4.16
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;09.03.02 Информационные системы и технологии;1;65.0;1;0.9;0.045;0.3;0.722841614740048;10.0;0.8;0.09;0.2;0.4270651487693239;12.0;0.75;0.05;0.17391304347826086;0.2993205957151676;11.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.03 Прикладная информатика;1;0.0;1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;10.05.01 Компьютерная безопасность;1;4.0;1;0.7;0.0;0.0;0.0;2.0;0.8;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.0;0.0
ПиОА АТ-33, ПиОА К-33, ПиОА Л-05, ПиОА П-33;38.03.01 Экономика;1;61.0;1;0.9;0.124;0.8;0.7364781055808788;8.3;0.6;0.057999999999999996;0.2;0.22406574120695114;4.0;0.75;0.09300000000000001;0.21739130434782608;0.19211001778185216;4.0
ПиОА АТ-23, ПиОА К-23, ПиОА Л-01, ПиОА П-23 СП;06.05.01 Биоинженерия и биоинформатика;0;71.24;0;0.6;0.15;0.8;0.806225774829855;9.7;0.8;0.06;0.2;0.24208591679012886;15.54;0.62;0.1;0.21739130434782608;0.2065174631382767;7.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;10.03.01 Информационная безопасность;1;76.67;0;1.0;0.15;0.8;0.806225774829855;15.0;1.0;0.06;0.2;0.24208591679012886;17.0;1.0;0.04;0.08695652173913043;0.22008857850523383;16.67
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;10.05.01 Компьютерная безопасность;1;36.43;1;0.7;0.13199999999999998;0.8;0.6720119046564577;6.0;0.8;0.052000000000000005;0.2;0.20709867673736057;4.33;0.88;0.07400000000000001;0.17391304347826086;0.18796164423785783;0.0
ПиОА АТ-08, ПиОА К-08, ПиОА Л-01, ПиОА П-08;10.05.03 Информационная безопасность автоматизированных систем;1;65.1;0;1.0;0.078;0.6;0.7652450587883597;11.2;1.0;0.08;0.26666666666666666;0.2542730145226766;13.8;0.75;0.08;0.17391304347826086;0.2322851582966341;16.3
ПиОА АТ-08, ПиОА К-08, ПиОА Л-01, ПиОА П-08;10.05.03 Информационная безопасность автоматизированных систем;1;81.3;0;1.0;0.11900000000000001;0.7;0.8395832299420946;14.4;1.0;0.12;0.26666666666666666;0.39657509842373423;16.7;0.75;0.09;0.17391304347826086;0.3147849445944485;15.3
ПиОА АТ-05, ПиОА К-05, ПиОА Л-05, ПиОА П-05 Интеграция;10.05.01 Компьютерная безопасность;1;38.97;1;0.9;0.098;0.6;0.844748483277715;2.5;0.8;0.046;0.2;0.23332932361147599;4.11;0.75;0.043;0.13043478260869565;0.19518445166695284;9.66
ПиОА АТ-05, ПиОА К-05, ПиОА Л-05, ПиОА П-05 Интеграция;44.03.05 Педагогическое образование (с двумя профилями подготовки);1;0.0;1;0.5;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;01.03.03 Механика и математическое моделирование;0;69.83;0;0.8;0.15;0.8;0.806225774829855;16.0;0.8;0.06;0.2;0.24208591679012886;15.0;0.75;0.06;0.13043478260869565;0.21744212661528461;11.83
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;02.03.03 Математическое обеспечение и администрирование информационных систем;1;89.4;0;1.0;0.15500000000000003;0.8;0.7787810988975015;18.0;1.0;0.071;0.26666666666666666;0.21144421513290307;16.0;0.75;0.098;0.21739130434782608;0.1913500799629791;14.0
ПиОА АТ-08, ПиОА К-08, ПиОА Л-01, ПиОА П-08;02.03.03 Математическое обеспечение и администрирование информационных систем;1;77.1;0;1.0;0.10400000000000001;0.7;0.751265598839718;8.7;0.6;0.075;0.26666666666666666;0.21733559114460393;17.7;0.62;0.125;0.2608695652173913;0.19297199641683838;17.3
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;03.03.02 Физика;1;61.93;1;0.8;0.16;0.8;0.8;6.83;0.6;0.065;0.26666666666666666;0.23032187122613015;7.78;0.62;0.1;0.21739130434782608;0.20167145719431784;3.82
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;02.03.03 Математическое обеспечение и администрирование информационных систем;0;79.69;0;1.0;0.15;0.8;0.806225774829855;11.0;1.0;0.09;0.26666666666666666;0.2420859167901289;18.0;0.5;0.08;0.17391304347826086;0.21832784159180538;15.69
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;09.03.03 Прикладная информатика;1;80.67;0;1.0;0.14;0.8;0.8;16.0;1.0;0.09;0.26666666666666666;0.24347323999182854;17.0;0.62;0.07;0.13043478260869565;0.2349328035071666;16.67
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;06.05.01 Биоинженерия и биоинформатика;0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.02 Информационные системы и технологии;1;10.0;1;0.7;0.02;0.2;0.4000000000000001;8.0;0.2;0.0;0.0;0.09357968418421547;0.0;0.0;0.0;0.0;0.06366053616778214;0.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;02.03.03 Математическое обеспечение и администрирование информационных систем;1;30.0;1;0.4;0.07;0.4;0.9;9.0;0.0;0.06;0.2;0.2634077273964049;0.0;0.12;0.04;0.08695652173913043;0.21295830223586598;0.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;09.03.02 Информационные системы и технологии;1;17.17;1;0.6;0.06;0.3;0.9165151389911679;3.0;0.4;0.0;0.0;0.22022983187592232;4.0;0.62;0.04;0.08695652173913043;0.1863789656702439;0.17
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;10.03.01 Информационная безопасность;1;56.82;1;1.0;0.1;0.7;0.7745966692414834;9.83;1.0;0.07;0.26666666666666666;0.22175393194281434;16.0;0.88;0.05;0.08695652173913043;0.21565978404111288;8.99
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;10.05.01 Компьютерная безопасность;1;9.0;1;0.4;0.02;0.2;0.4000000000000001;2.0;0.6;0.0;0.0;0.09357968418421547;5.0;0.38;0.0;0.0;0.06366053616778214;0.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;02.03.03 Математическое обеспечение и администрирование информационных систем;1;40.26;1;0.5;0.02;0.2;0.4000000000000001;0.0;0.8;0.0;0.0;0.09357968418421547;12.12;0.75;0.0;0.0;0.06366053616778214;13.53
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;10.03.01 Информационная безопасность;1;18.0;1;1.0;0.04;0.4;0.48989794855663565;4.0;1.0;0.0;0.0;0.1217366199959143;10.0;0.88;0.0;0.0;0.08563522497209305;0.0
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;44.03.05 Педагогическое образование (с двумя профилями подготовки);0;61.6;1;0.3;0.11699999999999999;0.8;0.7849203781276162;9.3;0.2;0.05;0.06666666666666667;0.36422171877084053;5.0;0.5;0.03;0.13043478260869565;0.2621958962928772;7.7
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;01.03.01 Математика;1;63.83;0;0.8;0.09;0.5;0.9433981132056605;13.83;0.6;0.06;0.2;0.2659527887053291;18.0;0.88;0.04;0.08695652173913043;0.21744212661528453;12.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;09.03.02 Информационные системы и технологии;1;69.33;0;0.9;0.14;0.8;0.8;16.0;0.8;0.06;0.2;0.23928714161048126;15.0;0.62;0.06;0.13043478260869565;0.2138625878416827;12.33
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;06.05.01 Биоинженерия и биоинформатика;1;61.71;0;0.8;0.16;0.8;0.8;14.33;0.6;0.06;0.2;0.24347323999182854;10.78;0.75;0.1;0.21739130434782608;0.2079144404840798;4.6
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;03.03.02 Физика;1;61.99;1;0.7;0.155;0.8;0.788986691902975;5.67;0.8;0.065;0.26666666666666666;0.22737833977119146;4.49;0.5;0.11;0.2608695652173913;0.1893324504869466;9.83
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;10.03.01 Информационная безопасность;1;76.83;0;0.9;0.15;0.8;0.806225774829855;13.0;0.6;0.09;0.26666666666666666;0.2420859167901289;16.0;0.75;0.06;0.13043478260869565;0.23493280350716655;17.83
ПиОА АТ-31, ПиОА К-31, ПиОА Л-05, ПиОА П-31;09.03.02 Информационные системы и технологии;1;81.53;0;0.9;0.16;0.8;0.8;10.99;0.8;0.065;0.26666666666666666;0.23032187122613015;13.71;0.88;0.1;0.21739130434782608;0.20167145719431784;16.33
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;10.03.01 Информационная безопасность;1;36.34;1;0.9;0.06;0.5;0.66332495807108;8.0;0.8;0.0;0.0;0.16820331247646875;14.0;0.62;0.0;0.0;0.11950236618947335;8.34
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;06.05.01 Биоинженерия и биоинформатика;1;3.6;1;0.7;0.01;0.1;0.30000000000000004;2.6;0.2;0.0;0.0;0.06866871476887733;0.0;0.25;0.0;0.0;0.04607411344100392;0.0
ПиОА АТ-08, ПиОА К-08, ПиОА Л-01, ПиОА П-08;09.03.02 Информационные системы и технологии;1;92.2;0;1.0;0.13;0.8;0.8717797887081348;8.0;0.8;0.21;0.26666666666666666;1.0;15.7;0.88;0.115;0.2608695652173913;0.6781807301142836;18.0
ПиОА АТ-08, ПиОА К-08, ПиОА Л-01, ПиОА П-08;09.03.03 Прикладная информатика;0;87.7;0;1.0;0.111;0.8;0.7272551134230683;14.5;0.4;0.12;0.26666666666666666;0.4796428445584694;16.6;0.88;0.115;0.2608695652173913;0.3374494558471233;15.0
ПиОА АТ-05, ПиОА К-05, ПиОА Л-05, ПиОА П-05 Интеграция;04.03.01 Химия;1;4.0;1;0.7;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.62;0.0;0.0;0.0;4.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.02 Информационные системы и технологии;1;69.9;0;0.8;0.11;0.6;0.9433981132056604;14.0;0.8;0.08;0.26666666666666666;0.25562055071556883;15.0;0.75;0.05;0.13043478260869565;0.21565978404111288;14.9
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.03 Прикладная информатика;1;60.62;1;0.7;0.1;0.7;0.7745966692414834;10.0;0.8;0.06;0.2;0.23502649571507986;11.0;0.62;0.04;0.08695652173913043;0.20322050739532405;9.32
ПиОА АТ-37, ПиОА К-37, ПиОА Л-01, ПиОА П-37;06.05.01 Биоинженерия и биоинформатика;1;11.62;1;0.7;0.005;0.1;0.15000000000000002;6.12;0.6;0.0;0.0;0.034334357384438664;0.0;0.75;0.0;0.0;0.02303705672050196;5.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;01.03.03 Механика и математическое моделирование;1;48.34;1;0.8;0.09;0.6;0.8306623862918076;19.0;0.2;0.02;0.06666666666666667;0.2350264957150799;0.0;0.25;0.04;0.08695652173913043;0.19547590830775274;14.34
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;04.03.01 Химия;0;76.51;0;1.0;0.155;0.8;0.788986691902975;9.83;1.0;0.06;0.2;0.24034050169107063;16.01;1.0;0.06;0.13043478260869565;0.21777469187709134;14.67
ПиОА АТ-33, ПиОА К-33, ПиОА Л-05, ПиОА П-33;38.03.01 Экономика;0;54.77;1;0.9;0.13;0.8;0.7602631123499285;2.0;0.8;0.06;0.2;0.23156154198507845;2.67;0.75;0.091;0.21739130434782608;0.19582606916389456;8.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.02 Информационные системы и технологии;1;33.83;1;0.9;0.04;0.4;0.48989794855663565;8.0;0.8;0.04;0.13333333333333333;0.19766232334989423;6.0;0.62;0.0;0.0;0.1430255338022794;11.83
ПиОА АТ-03, ПиОА К-03, ПиОА Л-05, ПиОА П-03 ШЕН;05.03.06 Экология и природопользование;0;70.1;0;0.9;0.128;0.8;0.7782030583337488;10.1;0.8;0.1;0.26666666666666666;0.28238983968280346;10.0;0.5;0.09;0.2608695652173913;0.21830132242962175;15.2
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;10.03.01 Информационная безопасность;1;69.18;0;1.0;0.09;0.7;0.7000000000000001;14.18;0.6;0.06;0.2;0.22477113093122308;13.0;1.0;0.06;0.17391304347826086;0.18741154401868887;19.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;15.03.06 Мехатроника и робототехника;1;57.16;1;1.0;0.14;0.8;0.8;10.0;0.8;0.06;0.2;0.23928714161048126;10.0;0.75;0.06;0.13043478260869565;0.2138625878416827;9.66
ПиОА АТ-33, ПиОА К-33, ПиОА Л-05, ПиОА П-33;38.03.01 Экономика;1;61.0;1;0.8;0.121;0.8;0.7647875521999558;10.03;0.4;0.023;0.13333333333333333;0.22651756103309653;9.33;0.88;0.078;0.21739130434782608;0.1872106382500016;6.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;10.05.03 Информационная безопасность автоматизированных систем;1;71.0;0;1.0;0.15;0.8;0.806225774829855;14.0;1.0;0.06;0.2;0.24208591679012886;14.0;1.0;0.09;0.21739130434782608;0.20463999268655056;9.0
ПиОА АТ-15, ПиОА К-15, ПиОА Л-01, ПиОА П-15 ШЕН;06.05.01 Биоинженерия и биоинформатика;1;65.22;1;1.0;0.12500000000000003;0.8;0.7526619427073487;8.49;0.4;0.027000000000000003;0.13333333333333333;0.22406574120695114;14.67;1.0;0.0824;0.21739130434782608;0.18759557006382904;13.66
ПиОА АТ-05, ПиОА К-05, ПиОА Л-05, ПиОА П-05 Интеграция;44.03.05 Педагогическое образование (с двумя профилями подготовки);1;5.53;1;0.3;0.02;0.1;0.6000000000000001;3.53;0.4;0.0;0.0;0.13733742953775466;0.0;0.38;0.0;0.0;0.09214822688200784;0.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;02.03.03 Математическое обеспечение и администрирование информационных систем;1;76.34;0;1.0;0.14;0.8;0.8;19.0;1.0;0.13;0.26666666666666666;0.4404596637518446;0.0;0.62;0.1;0.21739130434782608;0.32460631616530033;13.34
ПиОА АТ-03, ПиОА К-03, ПиОА Л-05, ПиОА П-03 ШЕН;06.03.01 Биология;0;61.9;1;1.0;0.11;0.6;0.9433981132056604;13.3;1.0;0.08;0.13333333333333333;0.4869464799836571;14.3;0.88;0.04;0.13043478260869565;0.3461835640420691;6.3
ПиОА АТ-11, ПиОА К-11, ПиОА Л-05, ПиОА П-11 ШЕН;03.03.02 Физика;0;28.7;1;0.8;0.09;0.5;0.9433981132056605;9.0;0.4;0.05;0.2;0.2556205507155688;0.0;0.38;0.057;0.13043478260869565;0.21076761013510845;0.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.03 Прикладная информатика;1;65.5;1;0.8;0.06;0.5;0.66332495807108;15.0;0.8;0.06;0.2;0.22922247654212505;0.0;0.5;0.08;0.17391304347826086;0.20322050739532405;19.0
ПиОА АТ-11, ПиОА К-11, ПиОА Л-05, ПиОА П-11 ШЕН;04.03.01 Химия;0;36.5;1;0.3;0.14;0.8;0.8;0.0;0.2;0.04;0.06666666666666667;0.32103738886959277;7.0;0.62;0.075;0.17391304347826086;0.2486489131749108;4.0
ПиОА АТ-09, ПиОА К-09, ПиОА Л-01, ПиОА П-09;09.03.03 Прикладная информатика;1;83.66;0;0.8;0.13;0.8;0.7810249675906655;15.0;0.6;0.08;0.26666666666666666;0.22022983187592227;17.0;1.0;0.07;0.17391304347826086;0.19938581363120333;16.66
ПиОА АТ-33, ПиОА К-33, ПиОА Л-05, ПиОА П-33;38.03.01 Экономика;0;22.65;1;0.0;0.1175;0.7;0.870990815106566;0.0;0.6;0.03;0.13333333333333333;0.24507613213503698;3.0;0.62;0.049;0.13043478260869565;0.19883698927676452;0.0
ПиОА АТ-28, ПиОА К-28, ПиОА Л-01, ПиОА П-28;06.05.01 Биоинженерия и биоинформатика;0;61.84;1;0.6;0.16;0.8;0.8;0.0;0.8;0.065;0.26666666666666666;0.23032187122613015;4.67;0.88;0.1;0.21739130434782608;0.20167145719431784;9.67
ПиОА АТ-33, ПиОА К-33, ПиОА Л-05, ПиОА П-33;38.03.01 Экономика;1;48.01;1;0.9;0.1301;0.8;0.7598743317154489;7.66;0.8;0.055;0.2;0.22599013084380684;4.84;0.5;0.065;0.21739130434782608;0.19138593016149857;3.0
ПиОА АТ-31, ПиОА К-31, ПиОА Л-04, ПиОА П-31;10.05.01 Компьютерная безопасность;1;94.73;0;1.0;0.16;0.8;0.8;14.66;1.0;0.08;0.26666666666666666;0.2202298318759223;18.24;1.0;0.1;0.21739130434782608;0.19841556060505425;15.83
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;09.03.02 Информационные системы и технологии;1;76.16;0;1.0;0.13;0.8;0.7810249675906655;17.0;1.0;0.04;0.13333333333333333;0.24347323999182854;17.0;1.0;0.1;0.21739130434782608;0.20698416986486903;14.16
ПиОА АТ-11, ПиОА К-11, ПиОА Л-05, ПиОА П-11 ШЕН;04.03.01 Химия;1;69.0;0;1.0;0.1;0.6;0.8944271909999159;13.0;0.8;0.06;0.2;0.2556205507155688;15.0;0.88;0.095;0.21739130434782608;0.22085448688495912;12.5
ПиОА АТ-11, ПиОА К-11, ПиОА Л-05, ПиОА П-11 ШЕН;04.03.01 Химия;0;17.7;1;0.4;0.0;0.0;0.0;4.0;0.4;0.0;0.0;0.0;8.0;0.62;0.057;0.13043478260869565;0.1450287056421234;0.0
ПиОА АТ-10, ПиОА К-10, ПиОА Л-01, ПиОА П-10;09.03.03 Прикладная информатика;0;79.33;0;1.0;0.11;0.6;0.9433981132056604;15.0;0.6;0.08;0.26666666666666666;0.25562055071556883;16.0;0.62;0.1;0.21739130434782608;0.21295830223586598;18.33
ПиОА АТ-01, ПиОА К-01, ПиОА Л-01, ПиОА П-01;09.03.02 Информационные системы и технологии;1;61.7;1;0.8;0.11900000000000001;0.7;0.8915716460273958;11.1;0.8;0.07;0.26666666666666666;0.23354575007820003;1.2;0.62;0.08;0.21739130434782608;0.1950855539854583;15.0
ПиОА АТ-01, ПиОА К-01, ПиОА Л-01, ПиОА П-01;09.03.02 Информационные системы и технологии;0;64.3;1;0.8;0.10800000000000001;0.6;0.9097252332435326;13.8;1.0;0.065;0.26666666666666666;0.2382715349168539;11.0;0.75;0.03;0.13043478260869565;0.19293699106586512;14.2
